comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
2777,2016-10-12,1053773,"40.8108680,-73.9424300"
1244,2016-10-12,1084564,"40.7747807,-73.9812945"
1244,2016-10-12,1084564,
2556,2016-10-12,1083931,"40.7865967,-73.9422533"
2556,2016-10-12,1083931,"40.7865967,-73.9422533"
2556,2016-10-12,1083931,"40.7865967,-73.9422533"
2351,2016-10-12,1025119,"40.7620286,-73.9896071"
2556,2016-10-12,1053773,"40.8108680,-73.9424300"
2351,2016-10-12,1025156,"40.7621860,-73.9883970"
2351,2016-10-12,1025406,"40.7659680,-73.9864690"
2669,2016-10-12,1063491,"40.8443440,-73.9405540"
2351,2016-10-12,1026508,"40.7621701,-73.9921840"
2666,2016-10-12,1064712,"40.8630200,-73.9232470"
2351,2016-10-12,1025156,"40.7621860,-73.9883970"
2252,2016-10-12,1018902,"40.7474830,-73.9792960"
2351,2016-10-12,1025157,"40.7622190,-73.9884760"
2591,2016-10-12,1048259,
1734,2016-10-12,1073488,"40.7788990,-73.9487730"
1734,2016-10-12,1073488,"40.7788990,-73.9487730"
2304,2016-10-11,5080385,"40.5404089,-74.1761670"
2556,2016-10-11,4436443,"40.5974610,-73.7857146"
2556,2016-10-11,4209026,"40.7070180,-73.7989630"
2556,2016-10-11,4209026,"40.7070180,-73.7989630"
2556,2016-10-11,4209026,"40.7070180,-73.7989630"
2720,2016-10-11,4583979,"40.7603138,-73.8270796"
2412,2016-10-11,4607892,"40.6984970,-73.8338580"
2788,2016-10-11,4209026,"40.7070180,-73.7989630"
2617,2016-10-11,4209026,"40.7070180,-73.7989630"
2639,2016-10-11,4114214,"40.7556769,-73.8313730"
2639,2016-10-11,4114214,"40.7556769,-73.8313730"
2749,2016-10-11,4535286,"40.7545547,-73.8316088"
2749,2016-10-11,4082570,"40.7018073,-73.9086658"
437,2016-10-11,4451494,
2748,2016-10-11,4045227,"40.7385022,-73.8759735"
2748,2016-10-11,4039314,"40.7434900,-73.8762990"
1871,2016-10-11,3388709,"40.6849565,-73.9790674"
686,2016-10-11,3247881,"40.5851860,-73.9345010"
686,2016-10-11,3247881,"40.5852448,-73.9344683"
686,2016-10-11,3247881,"40.5851860,-73.9345010"
686,2016-10-11,3247881,"40.5852448,-73.9344683"
686,2016-10-11,3247881,"40.5851860,-73.9345010"
686,2016-10-11,3247881,"40.5852448,-73.9344683"
686,2016-10-11,3077303,"40.6943940,-73.9117470"
686,2016-10-11,3077303,"40.6943940,-73.9117470"
1334,2016-10-11,3148670,"40.6317570,-74.0301820"
686,2016-10-11,3077303,"40.6943940,-73.9117470"
686,2016-10-11,3077303,"40.6943940,-73.9117470"
2374,2016-10-11,3016787,"40.6627930,-73.9908030"
686,2016-10-11,3247881,"40.5851860,-73.9345010"
686,2016-10-11,3247881,"40.5852448,-73.9344683"
2688,2016-10-11,3062367,"40.7163309,-73.9604294"
2688,2016-10-11,3062367,"40.7163309,-73.9604294"
2688,2016-10-11,3062367,"40.7163309,-73.9604294"
2688,2016-10-11,3062367,"40.7163309,-73.9604294"
2688,2016-10-11,3319418,"40.6932161,-73.9864051"
2688,2016-10-11,3055375,"40.6889558,-73.9636029"
2688,2016-10-11,3055375,"40.6889558,-73.9636029"
2788,2016-10-11,3100707,"40.6620950,-73.9217330"
2778,2016-10-11,3029639,"40.6724710,-73.9631040"
1771,2016-10-11,3038261,"40.6650470,-73.9337819"
2686,2016-10-11,3176967,"40.6042070,-73.9763630"
2670,2016-10-11,3029713,"40.6684132,-73.9608619"
2686,2016-10-11,3135117,"40.6131590,-73.9853980"
2686,2016-10-11,3135117,"40.6131590,-73.9853980"
2556,2016-10-11,3029713,"40.6684132,-73.9608619"
2752,2016-10-11,3072276,"40.7012920,-73.9288450"
2556,2016-10-11,3100707,"40.6620950,-73.9217330"
2188,2016-10-11,3245725,
2556,2016-10-11,3100707,"40.6620950,-73.9217330"
2679,2016-10-11,3108535,"40.6520160,-73.9486230"
2656,2016-10-11,3332190,"40.6759590,-73.9044357"
2656,2016-10-11,3031003,"40.6748340,-73.9479650"
2654,2016-10-11,3040877,"40.6817590,-73.9192938"
2656,2016-10-11,3396444,"40.6764835,-73.9360992"
2654,2016-10-11,3054006,"40.6789320,-73.9437550"
2654,2016-10-11,3054006,"40.6789408,-73.9437731"
2565,2016-10-11,2086308,"40.9037800,-73.9068790"
2282,2016-10-11,2004442,"40.8183269,-73.9097029"
1795,2016-10-11,2014650,
1795,2016-10-11,2027509,"40.8329410,-73.8758620"
2374,2016-10-11,2013304,"40.8531950,-73.8983360"
2374,2016-10-11,2008550,"40.8542736,-73.9119138"
2565,2016-10-11,2091947,"40.9038033,-73.9056003"
2412,2016-10-11,2090710,"40.8989389,-73.9136036"
2732,2016-10-11,2018333,"40.8748287,-73.8766001"
2732,2016-10-11,2014627,"40.8635475,-73.9040398"
2732,2016-10-11,2014627,"40.8635475,-73.9040398"
2732,2016-10-11,2014627,"40.8635475,-73.9040398"
2562,2016-10-11,1089424,"40.7502185,-74.0046604"
2420,2016-10-11,1076166,
2633,2016-10-11,1051379,"40.7717340,-73.9465759"
2633,2016-10-11,1061682,
2530,2016-10-11,1051137,"40.7719920,-73.9473650"
437,2016-10-11,1031307,"40.7840003,-73.9703465"
437,2016-10-11,1064066,"40.8575363,-73.9281711"
2608,2016-10-11,1064066,"40.8575363,-73.9281711"
1795,2016-10-11,1001034,"0.0000000,0.0000000"
2554,2016-10-11,1056688,"40.8029310,-73.9662340"
2715,2016-10-11,1006132,"40.7243924,-73.9876471"
2374,2016-10-11,1014559,"40.7385724,-73.9970391"
2715,2016-10-11,1088110,"40.7620782,-73.9929344"
2715,2016-10-11,1016894,"0.0000000,0.0000000"
2715,2016-10-11,1018905,"40.7469560,-73.9784070"
2777,2016-10-11,1011938,"40.7366850,-74.0068090"
2715,2016-10-11,1087600,
2722,2016-10-11,1047025,"40.7839550,-73.9549510"
1795,2016-10-11,1014985,"40.7443045,-73.9924431"
2554,2016-10-11,1062876,"40.8361620,-73.9415120"
2777,2016-10-11,1080184,"40.7297487,-74.0092398"
2669,2016-10-11,1066793,"40.7295989,-74.0047607"
